S.No.,Property_Name,Price_in_INR,No_of_Bedroom,Property_type,No_of_Bathroom,Carpet_Area(Sq Ft),Garden,Property Status,Parking,Council_Tax
2379,"South Tower, Deansgate Square, 9 Owen Street, Manchester, M15",45584300,2,Apartment,2,753000,Yes,"TENURE
Leasehold",Yes,Band: F
2380,"Whitworth Street West, Manchester, Greater Manchester, M1",45347155,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2381,Plot 4 The Chambers,45054250,2,Apartment,2,1000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2382,"W3, 51 Whitworth Street West, Southern Gateway, Manchester, M1",45054250,3,Flat,2,1000,Ask agent,"TENURE
Leasehold",Yes,Band: F
2383,"Leftbank, Manchester",45054250,2,Apartment,2,1000,Ask agent,"TENURE
Leasehold","Garage,",Band: F
2384,"Owen Street, 9 Owen Street, M15",44524200,2,Flat,2,727000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2385,"Owen Street, 9 Owen Street, M15",44524200,2,Flat,2,727000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2386,"9, Owen Street, Manchester,",44524200,2,Flat,2,786000,Yes,"TENURE
Leasehold",Ask agent,Band: F
2387,"Albion Street, Old Street, Manchester, M1",44524200,2,Apartment,2,817000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2388,"Manhattan Building, 38 George Street, Manchester, M1",44524200,2,Duplex,2,791000,Ask agent,"TENURE
Leasehold",Yes,Band: E
2389,"Elizabeth Tower, Crown Street, Manchester, M15",44406316,2,Apartment,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2390,"9, Owen Street, Manchester,",44153165,2,Flat,2,753000,Yes,"TENURE
Leasehold",Ask agent,Band: F
2391,"Three60, Silvercroft Street, Manchester",43464100,2,Apartment,2,861000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2392,"Victoria Residence, 16 Silvercroft Street, Manchester, M15",43464100,2,Apartment,2,888000,Yes,"TENURE
Leasehold",Ask agent,Band: D
2393,Windmill Street,43349079,2,Apartment,2,0,Ask agent,-,Ask agent,Ask agent
2394,"Elizabeth Tower, Crown Street, Manchester, M15",43146070,2,Apartment,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2395,"Silvercroft Street, 16 Silvercroft Street, M15",42616020,2,Flat,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2396,Windmill Street,42499515,2,Apartment,2,0,Ask agent,-,Ask agent,Ask agent
2397,"South Tower, Deansgate Square, 9 Owen Street, Manchester, M15",42404000,2,Flat,2,727000,Ask agent,"TENURE
Leasehold",Yes,Band: F
2398,"South Tower, 9 Owen Street, Manchester, Greater Manchester, M15",42404000,2,Flat,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
2399,"Owen Street, Manchester, Greater Manchester",42404000,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2400,"M3 Hands Off Investment, Deansgate, Manchester",17597129,1,Flat,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2401,"Castle Wharf, 2A Chester Road, Deansgate, Manchester, M15",42404000,2,Flat,2,886000,Ask agent,"TENURE
Leasehold",Yes,Band: E
2402,"Silvercroft Street, Manchester, Greater Manchester, M15",42404000,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: D
2403,Lower Mosley Street,42404000,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2404,Blackfriars Street,42404000,3,Flat,2,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2406,"Elizabeth Tower, Crown Street, Manchester, M15",42286116,2,Apartment,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2407,"The Blade, M15",41873950,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: D
2408,"South Tower, Owen Street, M15",41343900,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: E
2409,"Stanley Street, Salford, Manchester, M3",41343900,2,Apartment,2,0,Yes,"TENURE
Leasehold",Ask agent,Band: D
2410,"Affinity Living Riverview, Manchester",41343900,2,Apartment,2,723000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2411,"Elizabeth Tower, Manchester",41025870,2,Apartment,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2412,"Elizabeth Tower, Crown Street, Manchester, M15",41025870,2,Apartment,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2413,"Elizabeth Tower, Crown Street, Manchester, M15",41025870,2,Apartment,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2414,"Elizabeth Tower, 141 Chester Road, Manchester, M15",40813850,2,Apartment,2,798000,Ask agent,"TENURE
Leasehold",Ask agent,Band: D
2415,"The Blade, M15",40813850,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2416,"Silvercroft Street, 16 Silvercroft Street, M15",40591229,2,Flat,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2417,"Castle Place, Manchester",40299701,2,Apartment,2,850000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2418,"Victoria Residence, M15",40283800,2,Apartment,2,0,Yes,"TENURE
Leasehold",Ask agent,Band: D
2419,"Blade Tower, 15 Silvercroft Street, Manchester, M15 4XP",40283800,1,Apartment,1,560000,"Communal garden,","TENURE
Leasehold",Ask agent,Ask agent
2420,"Manhattan Apartments, George Street, Manchester",39753750,2,Apartment,3,0,Ask agent,"TENURE
Leasehold",Yes,Band: D
2421,"King Street, Manchester",39223700,2,Apartment,2,606000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2422,"1 Watson Street, Manchester, M3",38905670,2,Maisonette,2,0,Ask agent,"TENURE
Leasehold",Allocated,Band: F
2423,"Quay Street, Salford",38693650,2,Flat,1,722000,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2425,"Whitworth Street West, Manchester, Greater Manchester",18021700,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2426,"Manchester Rise, Manchester",38163600,2,Flat,2,659000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2427,"Waterside Apartment, Manchester",38163600,2,Apartment,2,0,Ask agent,-,Ask agent,Band: TBC
2428,"Spinningfields, Manchester",38163600,2,Apartment,2,0,Ask agent,-,Ask agent,Band: TBC
2429,"St John's Apartments, Spinningfields, Manchester",38163600,2,Apartment,2,0,Yes,"TENURE
Leasehold",Ask agent,Band: TBC
2430,"Deansgate, Manchester",38163600,2,Apartment,2,0,Ask agent,-,Ask agent,Band: TBC
2431,Deansgate Apartment,38163600,2,Apartment,2,0,Ask agent,-,Ask agent,Band: TBC
2432,"Left Bank, M3",37633550,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Ask agent
2433,"Chepstow House, Chepstow Street, Manchester",37633550,2,Apartment,1,0,Ask agent,"TENURE
Leasehold",Yes,Band: E
2434,"Luxury Apartments, St John's, Manchester",37103500,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2435,"Wharfside, Manchester, Greater Manchester, M15",37103500,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Yes,Ask agent
2436,"Slate Street, Manchester",37103500,2,Apartment,2,810000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2437,"trinity way, Manchester",37103500,2,Apartment,2,0,Ask agent,-,Ask agent,Band: TBC
2438,Lower Mosley Street,37103500,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2439,Windmill Street,37059823,2,Apartment,2,0,Ask agent,-,Ask agent,Ask agent
2440,"Cambridge Street, M1",36573450,2,Apartment,2,1000,Ask agent,"TENURE
Leasehold",Yes,Band: F
2441,"Potato Wharf, Castlefield",36043400,2,Apartment,2,727000,Yes,"TENURE
Leasehold",Ask agent,Band: TBC
2442,"Potato Wharf, Manchester, M3",36043400,2,Apartment,2,725000,Yes,"TENURE
Leasehold",Ask agent,Band: TBC
2443,"Potato Wharf, Manchester, Greater Manchester, M3",36043400,2,Apartment,2,717000,Yes,"TENURE
Leasehold",Ask agent,Band: TBC
2444,"East Tower, Manchester, M15",36043400,1,Apartment,1,0,Ask agent,-,Yes,Ask agent
2445,"Beetham Tower, 301 Deansgate, Manchester, M3",36043400,2,Flat,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: F
2446,"Manchester Waters, 3 Pomona Strand, Old Trafford, M16",36043400,3,Flat,2,0,Ask agent,-,Yes,Band: TBC
2447,"Potato Wharf, Manchester, Greater Manchester, M3",36043400,2,Apartment,2,717000,Yes,"TENURE
Leasehold",Ask agent,Band: TBC
2448,"Affinity Living Riverview, Manchester",36043400,2,Apartment,2,744000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2449,"Great Northern Tower, Watson Street, Manchester, Greater Manchester, M3",35513350,2,Apartment,2,875000,Ask agent,"TENURE
Leasehold",Yes,Band: E
2450,"M1 Central Apartments, Deansgate, Manchester",11661100,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2451,"Oxford Street, Manchester",35513350,2,Apartment,2,744000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2452,"East Tower, Owen Street, M15",34983300,1,Apartment,1,0,Yes,-,Ask agent,Band: D
2453,"New Bailey Street, Manchester",34983300,2,Apartment,2,0,Ask agent,-,Ask agent,Ask agent
2454,"Cityscape Residence, Manchester",34983300,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2455,"Luxury Apartment, Manchester",34983300,1,Apartment,1,0,Ask agent,-,Ask agent,Band: TBC
2456,"Slate Street, Manchester",34983300,1,Apartment,1,550000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2457,King street,34983300,2,Apartment,1,0,Yes,"TENURE
Leasehold",Ask agent,Band: TBC
2458,"The Hacienda, Whitworth Street West, Manchester",34977999,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: E
2459,"South Tower, Deansgate Square, Owen Street, Manchester, M15",34453250,1,Apartment,1,0,Ask agent,-,Ask agent,Ask agent
2460,"Apt 14 The Chambers, Manchester",34453250,2,Apartment,1,715000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2461,"Three60, M15",34453250,1,Apartment,1,0,Ask agent,-,Ask agent,Ask agent
2462,"Leftbank, Spinningfields, Manchester",34453250,2,Apartment,2,893000,Ask agent,"TENURE
Leasehold","Garage,",Band: E
2463,"Whitworth Street West, Manchester, M1",34453250,3,Apartment,2,0,Yes,"TENURE
Leasehold",Ask agent,Band: E
2464,Windmill Street,34024121,1,Apartment,1,0,Ask agent,-,Ask agent,Ask agent
2465,"Quay Street, Manchester",33923200,2,Apartment,2,0,Yes,"TENURE
Leasehold",Ask agent,Band: TBC
2466,"8 King Street, Manchester, M2",33923200,1,Apartment,1,0,Ask agent,-,Yes,Ask agent
2467,"Blade Tower, Great Jackson Street, Manchester, M15",33923200,1,Apartment,1,561000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2468,"8 King Street, City Centre",33923200,2,Apartment,1,797000,Ask agent,"TENURE
Leasehold",Ask agent,Band: E
2469,"Wood Street, Spinningfields, Manchester",33923200,2,Apartment,1,775000,Ask agent,-,Yes,Band: TBC
2470,", Elizabeth Tower, 141 Chester Road",33923200,1,Flat,1,614000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2471,"Elizabeth Tower, Crown Street, Manchester, M15",33817190,1,Apartment,1,620000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2472,"Elizabeth Tower, Crown Street, Manchester, M15",33817190,1,Apartment,1,612000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2473,"Victoria Residence, Deansgate, Manchester",33721781,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2474,"Elizabeth Tower, Crown Street, Manchester, M15",33711180,1,Apartment,1,620000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2475,"Elizabeth Tower, Crown Street, Manchester, M15",41025870,2,Apartment,2,805000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2476,"Affinity Living Riverview, Manchester",33393150,2,Apartment,2,761000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2478,"707, Victoria Residence, M15 4ZD",33181130,1,Flat,1,612000,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2479,"Flat 701, Victoria Residence, M15 4ZD",33181130,1,Flat,1,620000,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2480,"East Tower, Owen Street, M15",32863100,1,Apartment,1,0,Yes,"TENURE
Leasehold",Ask agent,Band: C
2481,"Deansgate, Manchester",32863100,2,Apartment,2,0,Ask agent,-,Ask agent,Band: TBC
2482,"East Tower, Owen Street, M15",32651080,1,Apartment,1,0,Yes,"TENURE
Leasehold",Ask agent,Band: C
2483,"Chester Road, Manchester, M15",31803000,1,Apartment,1,609000,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2484,"Cambridge Street, Manchester, Greater Manchester, M1",31803000,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: D
2485,"Worsley Mill, 10 Blantyre Street",31803000,2,Apartment,2,0,Ask agent,"TENURE
Leasehold","Allocated,",Band: D
2486,"Victoria Residence, M15",31803000,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2487,"Vicus, 73-83 Liverpool Road, Castlefield",31803000,2,Apartment,2,657000,Ask agent,"TENURE
Leasehold",Off street,Band: E
2488,"Silvercroft Street, Manchester, M15",31803000,1,Flat,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2489,"Whitworth Street West, Manchester, Greater Manchester, M1",31803000,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: F
2490,"5 Bankside Blvd, Salford, Manchester",31803000,1,Flat,1,538000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2491,"Middle Warehouse, Castle Quay, Manchester, M15",31803000,1,Apartment,1,0,Ask agent,-,Yes,Ask agent
2492,Lower Mosley Street,31803000,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2493,"Tuscany House, Dickinson Street",31803000,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: E
2494,"Harter Street, Manchester",31802893,2,Apartment,2,1000,Ask agent,"TENURE
Leasehold",Ask agent,Band: C
2495,"Commercial Street, Manchester",31802469,2,Apartment,2,706000,Ask agent,"TENURE
Leasehold",Off street,Band: D
2496,"Wharfside Apartments, Manchester, Greater Manchester, M3",31801939,1,Apartment,1,450000,Ask agent,-,Yes,Ask agent
2497,"Affinity Living, 32 Quay Street, Manchester, M3",31797699,1,Apartment,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2498,"The Assembly, Cambridge Street, City Centre",31797699,2,Apartment,2,915000,Ask agent,"TENURE
Leasehold",Off street,Band: E
2499,"Axis Tower, 9 Whitworth Street West, Manchester, M1",31272950,2,Apartment,2,571000,Ask agent,"TENURE
Leasehold",Ask agent,Band: D
2500,"Victoria Residence, 16 Silvercroft Street, Manchester, M15",43464100,2,Apartment,2,888000,Yes,"TENURE
Leasehold",Ask agent,Band: D
2501,"12 Leftbank, Spinningfields, Manchester, M3",31272950,1,Flat,1,828000,Ask agent,"TENURE
Leasehold",Yes,Band: C
2502,"Albert Vaults, Chapel Street, M3 6AD",31272950,3,Apartment,1,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2503,"Axis Tower, M1",31272950,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2504,"The Bridge, 40 Dearmans Place, Salford, Lancashire, M3",31272950,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: D
2505,"Oxford Street, Manchester",31272950,1,Apartment,1,435000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2506,"New Elm Road, Manchester, Greater Manchester, M3",30953859,1,Apartment,1,545000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
2507,"The Edge, Clowes Street, Salford, Greater Manchester, M3",30742900,2,Flat,1,0,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
2508,"Peter Street, Manchester",30742900,1,Apartment,1,475000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2509,"East Tower, 9 Owen Street, Manchester, M15",30742900,1,Apartment,1,0,Ask agent,-,Ask agent,Ask agent
2510,Blackfriars Street,30742900,2,Flat,2,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2511,"East Tower, 9 Owen Street, Manchester, M15",30742900,1,Apartment,1,0,Ask agent,-,Ask agent,Ask agent
2512,"The Lock Building, Whitworth Street West, Manchester, M1 5BD",30742900,2,Flat,2,872000,Ask agent,"TENURE
Leasehold",Allocated,Ask agent
2513,"Worsley Mill, Blantyre Street",30742900,2,Apartment,2,762000,Ask agent,"TENURE
Leasehold","Allocated,",Band: D
2514,"Bridgewater Street, Manchester, M3",30742900,2,Apartment,2,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2515,"The Edge, Clowes Street, Salford",29682800,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: E
2516,"Great Northern Tower, 1 Watson Street",29682800,2,Apartment,2,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2517,"The Hacienda, 11 - 15 Whitworth Street West, Manchester, Greater Manchester, M1",29682800,2,Flat,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
2518,"Oxford Street, Manchester",29682800,1,Apartment,1,449000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
2519,"Worsley Mill, 10 Blantyre Street, Castlefield",29682800,2,Apartment,2,850000,Ask agent,"TENURE
Leasehold",Off street,Band: D
2520,"The Lock Building, Whitworth Street West, Manchester",29682800,3,Apartment,2,0,Ask agent,"TENURE
Leasehold",Ask agent,Band: E
2521,"Plot 5 - The Chambers, Chapel Walks",29682800,1,Apartment,1,684000,Ask agent,"TENURE
Leasehold",Ask agent,Band: TBC
2522,"The Edge, Clowes Street, Salford, M3",29682800,2,Apartment,2,844000,Ask agent,"TENURE
Leasehold",Off street,Band: E
2523,"Deansgate, Manchester",29682800,1,Apartment,1,0,Ask agent,-,Ask agent,Band: TBC
2524,"The Edge, Clowes Street, Salford",29682800,2,Apartment,2,0,Ask agent,"TENURE
Leasehold",Yes,Band: E
2527,"Thorner Lane, Scarcroft, Leeds, LS14",630759500,8,Detached,7,0,Yes,-,Yes,Band: H
2529,"The Boulevard, Leeds, LS10",487646000,32,Apartment,32,0,Ask agent,-,Ask agent,Ask agent
2530,"The Blomfield, The Headrow/Vicar Lane, LS1",487646000,25,Apartment,25,0,Ask agent,-,Ask agent,Ask agent
2531,"Farrer Lane, Oulton, Leeds",397537500,5,Detached,5,6000,Yes,-,Yes,Band: G
2533,"Sandmoor Drive, Alwoodley",296828000,6,Detached,6,7000,Yes,-,Yes,Band: G
2534,"Woodlea, Wigton Lane, Leeds",275626000,5,Detached,5,5000,Yes,-,Yes,Band: TBC
2535,"Aberford Road, Leeds",265025000,5,Detached,5,3000,Yes,-,Private,Band: G
2536,"Sandmoor Avenue, Alwoodley, Leeds, West Yorkshire",265025000,6,Detached,4,5000,Yes,-,Yes,Band: H
2537,"Wigton Lane, Leeds",243823000,5,Detached,3,5000,Yes,-,Yes,Band: H
2538,"Woodley Chase, 95 Wigton Lane, Alwoodley, West Yorkshire, LS17",243823000,5,Detached,4,0,Yes,-,Yes,Band: TBC
2539,"The Ridge, Linton, Wetherby, West Yorkshire",238522500,6,Detached,5,0,Yes,-,Yes,Band: H
2540,"The Terrace, Boston Spa, Wetherby, West Yorkshire",233222000,6,House,5,0,Yes,-,Yes,Band: G
2541,"The Acres, Linton, Wetherby",211489950,6,Detached,4,5000,Yes,-,Yes,Band: H
2542,"The Acres, Linton Lane",211489950,6,Detached,4,0,"Private garden,",-,"Garage,",Band: H
2543,"Wigton Lane, Alwoodley, Leeds, West Yorkshire",206719500,5,Detached,4,4000,Yes,-,Yes,Band: G
2544,"SKY GARDENS, Silver Street, Water Lane, Leeds, West Yorkshire, LS11",186047550,10,Flat,1,0,Yes,-,Ask agent,Ask agent
2545,"Orchid Way, Leeds, Rawdon",185517500,5,Detached,4,4000,"Back garden,",-,"Garage,",Ask agent
2546,"Butts Garth, Thorner, LS14",179686950,8,Detached,4,0,Yes,-,Yes,Band: H
2547,"Bramfield, Kings Road, Bramhope",174916500,7,Detached,5,5000,Yes,-,Yes,Band: G
2548,"Highfield House, Cross Lane, Guiseley, Leeds, West Yorkshire",169616000,6,Detached,5,6000,Yes,-,Yes,Band: F
2549,"Church Lane, Bardsey, LS17",169085950,6,Detached,5,0,Yes,-,Yes,Band: G
2550,Climate Innovation District,53535050,4,Town House,2,1000,Patio,-,"Secure,",Ask developer
2551,"Beech View Barn, Carr Lane, Thorner, Leeds",164315500,5,Barn Conversion,4,5000,Yes,-,Yes,Band: H
2552,"Kingsgarth, Kings Road, Bramhope, Leeds",159015000,6,Detached,5,5000,Yes,-,Yes,Band: G
2553,"Wetherby Road, Scarcroft, Leeds, West Yorkshire",159015000,5,Detached,3,0,Yes,-,Yes,Band: TBC
2555,"Villamura, Scotland Lane, Horsforth, Leeds, West Yorkshire",159015000,4,Detached Bungalow,2,0,Yes,-,Yes,Band: G
2556,"Dean Head, Scotland Lane, Leeds, West Yorkshire, LS18",159015000,5,Detached,3,4000,"Back garden,",-,Driveway,Ask agent
2557,"Scotland Lane, Horsforth, Leeds, West Yorkshire, LS18 5HH",159015000,4,Bungalow,2,0,Yes,-,Yes,Band: G
2558,"Park Lane Court, Shadwell, Leeds",159015000,6,Detached,4,4000,Yes,-,Yes,Band: G
2559,"Thorner Lodge, Sandhills, Thorner, LS14",158484950,6,Detached,3,0,Yes,-,Yes,Band: H
2560,"Thorner Lodge, Sandhills, Thorner, Leeds, LS14",158484950,6,Detached,3,4000,Yes,-,Yes,Band: H
2561,"Glebe House, Shaw Lane, Leeds, West Yorkshire",156364750,6,Detached,3,4000,Yes,-,Yes,Band: D
2562,"Old Park Road, Roundhay, Leeds, West Yorkshire",153714500,7,Detached,3,4000,Yes,-,Yes,Band: G
2563,"Farrer Lane, Oulton",153714500,4,Detached,4,0,Enclosed garden,-,Driveway,Band: G
2564,"Sandhills, Thorner, LS14",148414000,5,Detached,5,0,Yes,-,Yes,Band: F
2566,"Bridle Way, Wetherby, West Yorkshire, LS22",147883950,5,Detached,4,0,Yes,-,Yes,Band: G
2567,"Cleveland House, Springwood Road, Oakwood, Leeds",147883950,8,Detached,3,3000,Yes,-,Yes,Band: E
2568,"Park Lane Court, Leeds, West Yorkshire",147883950,5,Detached,3,3000,Yes,-,Yes,Band: G
2569,"Linton, Northgate Lane, LS22",147883950,4,Detached,2,2000,Yes,-,"Garage,",Band: H
2570,"""Linton House"", Avenue Des Hirondelles, Pool-in-Wharfedale, West Yorkshire",145763750,5,Detached,5,4000,Yes,-,Off street,Ask agent
2571,"The Walled House, Boston Spa",145763750,6,Detached,3,3000,Yes,-,Yes,Band: G
2572,Detached park facing home in Roundhay,143113500,5,Detached,2,3000,Yes,-,Ask agent,Band: G
2573,"Rawdon Road, Leeds, West Yorkshire, LS18",143113500,5,Detached,3,0,Yes,-,Yes,Ask agent
2574,"Wigton Lane, Alwoodley, Leeds",143113500,3,Apartment,3,2000,Yes,"TENURE
Leasehold",Yes,Band: G
2575,"Nelson Court, Morley, Leeds",23322200,3,End of Terrace,1,0,Yes,-,Yes,Band: B
2576,"Westways, Thorner, Leeds",143113500,4,Equestrian Facility,3,2000,Yes,-,Yes,Band: G
2577,"Halstead Drive, Menston",143113500,5,Detached,3,4000,"Back garden,",-,"Garage,",Ask agent
2578,"Crabtree Green, Collingham, Wetherby, West Yorkshire",143113500,4,Detached,2,0,Yes,-,Yes,Band: G
2579,"Wike Ridge Lane, Leeds, West Yorkshire",143113500,6,Link Detached House,4,0,Yes,-,Yes,Band: TBC
2580,"Rydedale, Church Lane, Adel, Leeds",143113500,5,Detached,4,3000,Yes,-,Yes,Band: G
2581,"Apartment 704,2 Great George Street, Leeds, West Yorkshire, LS1",140463250,3,Penthouse,3,2000,"Communal garden,","TENURE
Leasehold",Ask agent,Ask agent
2582,"The Hall, Chapel Allerton, Leeds",137813000,4,Terraced,4,3000,Yes,-,Yes,Band: G
2583,"Lawnswood Crescent, Leeds, LS16",137813000,6,Detached,4,0,Private garden,-,"Garage,",Band: G
2584,"Grove Road, Boston Spa, LS23",137282950,6,Detached,3,0,Yes,-,Yes,Band: G
2585,"Rigton Gardens, Bardsey, LS17",132512500,5,Detached,5,0,Yes,-,Yes,Band: G
2586,"Newlay Lane, Horsforth, Leeds, West Yorkshire, LS18",132512500,5,Detached,4,0,Yes,-,Yes,Band: G
2587,"Scotland Lane, Horsforth",132512500,5,Detached,3,4000,Yes,-,"Private,",Ask agent
2588,"Ancaster Road, West Park, Leeds, West Yorkshire",132512500,4,Detached,4,3000,Yes,-,Garage,Band: G
2589,"The Avenue, Leeds, LS17",132512500,9,Link Detached House,3,9000,"Rear garden,",-,Yes,Ask agent
2590,"Northfield House, Thorner, Leeds",132512500,4,Detached,2,2000,Yes,-,Yes,Band: G
2591,"The Farmhouse, Thorner, Leeds",132512500,5,Farm House,3,3000,Yes,-,Yes,Band: F
2592,"Shell Lane, Calverley",132512500,8,Detached,5,0,Yes,-,Yes,Band: H
2593,"Upper Langwith, Collingham, LS22",132512500,5,Detached,3,0,Yes,-,Yes,Band: G
2594,"Tib Garth, Linton, LS22",132512500,5,Detached,2,0,Yes,-,Yes,Band: G
2595,"Old Park House, Old Park Road, Roundhay, Leeds",132512500,5,Detached,2,2000,Yes,-,Yes,Band: G
2596,"Hawthorn Cottage, Wike",129862250,3,Cottage,2,1000,Yes,-,Yes,Band: D
2597,"Park Avenue, Roundhay, Leeds",127212000,4,Detached,2,2000,Yes,-,Yes,Band: G
2598,"Adel Wood Barn, Adel, Leeds",127212000,4,Detached,3,3000,Yes,-,Yes,Band: G
2599,"Linton, Wetherby, College Farm Lane, LS22",127212000,4,Detached,3,2000,Yes,-,Garage,Band: G
2600,"Bridle Way, Wetherby, West Yorkshire, LS22",147883950,5,Detached,4,0,Yes,-,Yes,Band: G
2601,"""Grove Lodge"", 254 Main Street, Shadwell Village, Leeds",127212000,6,Detached,2,0,Yes,-,Yes,Band: G
2602,"Church Street, Boston Spa, Wetherby, West Yorkshire",127212000,5,Detached,4,0,Yes,-,Yes,Band: G
2603,"The Manning Collection, Heather Row, Leeds, West Yorkshire",126681950,5,Detached,4,2000,Yes,-,Yes,Band: TBC
2604,"Congreve Approach, Bardsey, Leeds",126681950,5,Detached,3,2000,Yes,-,Yes,Band: G
2605,"High Street, Boston Spa, LS23",126681950,4,House,2,0,Yes,-,Yes,Band: TBC
2606,"Butts Garth Farm, Thorner, LS14",126681950,5,Detached,4,0,Yes,-,Yes,Band: G
2607,"Congreve Way, Bardsey, Leeds, LS17",125091800,4,Detached,4,2000,Yes,-,Off street,Band: TBC
2608,"St Edwards Wood, Clifford, Wetherby, LS23",124561750,5,Detached,4,2000,Yes,-,Garage,Band: G
2611,"Spofforth Hill, Wetherby, West Yorkshire, LS22 6SE",121911500,5,Detached,2,3000,Yes,-,Garage,Band: G
2612,"Derry Hill, Menston, Ilkley",121911500,5,Detached,3,0,Yes,-,Yes,Band: G
2613,"Castle Hill View, Bardsey, Leeds",121911500,5,Detached,3,3000,Yes,-,Yes,Band: G
2614,"The Spinney, Rawdon, Leeds, West Yorkshire, LS19",121911500,4,Detached,3,0,Yes,-,Yes,Band: F
